                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.73473,                0.41347,                0.99007,                0.92762,                0.94386,                0.96393,                0.79093,                0.77374,                0.44221,                0.98107,              0.0013336,              0.0013336,              0.0013336
                    104,                0.71139,                 0.4129,                0.97898,                0.92234,                0.93946,                0.96637,                0.79135,                 0.7667,                0.44792,                0.97353,              0.0013303,              0.0013303,              0.0013303
                    105,                0.69551,                0.39882,                0.97469,                0.91463,                0.96402,                0.96442,                 0.7847,                 0.7815,                0.45651,                0.99183,               0.001327,               0.001327,               0.001327
                    106,                0.68941,                0.39697,                0.97373,                0.92369,                0.94381,                0.96378,                0.79284,                0.76018,                0.43206,                0.98331,              0.0013237,              0.0013237,              0.0013237
                    107,                0.69736,                0.41245,                0.97182,                0.93816,                0.94633,                0.96114,                0.78633,                0.75199,                0.45269,                0.98358,              0.0013204,              0.0013204,              0.0013204
                    108,                 0.6778,                0.38968,                0.96618,                0.94313,                0.95112,                0.96533,                0.78887,                0.75676,                0.42634,                0.98193,              0.0013171,              0.0013171,              0.0013171
                    109,                0.69536,                0.40291,                0.97235,                0.92106,                0.96054,                0.95951,                0.79605,                 0.7557,                0.43134,                0.98638,              0.0013138,              0.0013138,              0.0013138
                    110,                 0.6952,                0.39521,                0.95882,                0.94083,                 0.9405,                0.95481,                0.77043,                0.78486,                0.43552,                 1.0043,              0.0013105,              0.0013105,              0.0013105
                    111,                0.70857,                0.41423,                0.99553,                 0.9376,                0.94085,                0.95752,                0.77173,                0.75198,                0.59937,                0.97467,              0.0013072,              0.0013072,              0.0013072
                    112,                0.69483,                0.40829,                0.97246,                0.91279,                 0.9607,                0.96315,                0.78175,                0.77399,                0.46138,                0.98337,              0.0013039,              0.0013039,              0.0013039
                    113,                0.71121,                0.40303,                0.96151,                0.92046,                0.96199,                0.95943,                0.79058,                 0.7538,                0.41801,                0.97134,              0.0013006,              0.0013006,              0.0013006
                    114,                0.68707,                0.39375,                0.96872,                0.90741,                0.96582,                0.95792,                0.78513,                0.76218,                  0.447,                0.97793,              0.0012973,              0.0012973,              0.0012973
                    115,                0.69404,                0.40335,                0.96794,                 0.9029,                0.96339,                0.96057,                0.79928,                0.74182,                 0.4408,                0.95956,               0.001294,               0.001294,               0.001294
                    116,                0.69057,                0.39934,                0.95639,                0.90641,                 0.9615,                0.97041,                0.79248,                 0.7657,                0.43532,                0.97458,              0.0012907,              0.0012907,              0.0012907
                    117,                0.68783,                0.39434,                0.96275,                0.93566,                0.93765,                0.96733,                 0.7928,                0.77791,                0.45367,                 0.9739,              0.0012874,              0.0012874,              0.0012874
                    118,                0.68752,                0.39645,                0.95852,                0.93021,                0.95142,                0.96508,                0.78946,                0.77327,                0.44746,                0.97597,              0.0012841,              0.0012841,              0.0012841
                    119,                 0.6869,                0.40701,                0.95444,                0.90448,                0.95904,                0.96209,                0.78813,                0.77291,                0.45231,                  0.981,              0.0012808,              0.0012808,              0.0012808
                    120,                 0.6917,                0.39934,                0.95762,                0.92915,                 0.9568,                0.96062,                0.78643,                0.76725,                0.45064,                0.97943,              0.0012775,              0.0012775,              0.0012775
                    121,                0.69853,                0.40915,                0.96556,                0.91014,                  0.971,                0.96339,                0.79411,                0.73761,                0.44449,                0.96319,              0.0012742,              0.0012742,              0.0012742
                    122,                0.67869,                0.38325,                0.95763,                0.92632,                 0.9405,                0.96722,                0.79701,                0.74502,                0.43514,                0.96658,              0.0012709,              0.0012709,              0.0012709
                    123,                0.68643,                0.38767,                0.96534,                 0.9449,                0.93854,                0.96517,                0.78822,                0.76906,                0.45215,                0.97157,              0.0012676,              0.0012676,              0.0012676
                    124,                0.68408,                0.38907,                0.96211,                0.91427,                0.96581,                0.96199,                0.78579,                0.76222,                0.42957,                0.97293,              0.0012643,              0.0012643,              0.0012643
                    125,                0.70266,                 0.3909,                0.96858,                0.91511,                0.96339,                0.97319,                0.78942,                0.76436,                0.42985,                0.97893,               0.001261,               0.001261,               0.001261
                    126,                0.67928,                0.38395,                0.95614,                0.92376,                0.96063,                0.95976,                0.78594,                0.77993,                0.44392,                0.98264,              0.0012577,              0.0012577,              0.0012577
                    127,                0.69687,                0.38739,                 0.9663,                 0.9129,                0.96158,                 0.9626,                0.78846,                0.76614,                0.44865,                0.97447,              0.0012544,              0.0012544,              0.0012544
                    128,                0.68871,                0.39183,                0.96694,                0.90498,                0.97126,                 0.9693,                0.79918,                0.76778,                0.44858,                0.98217,              0.0012511,              0.0012511,              0.0012511
                    129,                0.67734,                0.38668,                0.96623,                0.91113,                0.97173,                0.96896,                0.79061,                0.77626,                0.44308,                0.98839,              0.0012478,              0.0012478,              0.0012478
                    130,                0.69099,                0.39855,                0.96431,                0.91982,                0.95634,                0.96613,                0.80237,                0.72729,                0.44735,                0.96157,              0.0012445,              0.0012445,              0.0012445
                    131,                0.67533,                0.38225,                0.94978,                0.91999,                0.96947,                0.96669,                0.78967,                 0.7785,                0.42918,                0.97788,              0.0012412,              0.0012412,              0.0012412
                    132,                0.67703,                0.38987,                0.96036,                 0.9263,                0.95831,                 0.9633,                0.79501,                0.75096,                0.45817,                0.97216,              0.0012379,              0.0012379,              0.0012379
                    133,                0.67987,                0.38917,                0.95518,                0.92927,                0.95831,                0.96901,                0.79759,                0.75846,                0.42638,                 0.9752,              0.0012346,              0.0012346,              0.0012346
                    134,                0.65981,                0.38042,                0.95558,                0.94038,                0.93666,                0.96498,                0.79169,                 0.7641,                 0.4384,                0.97995,              0.0012313,              0.0012313,              0.0012313
                    135,                0.68721,                0.38992,                 0.9539,                0.92861,                0.95437,                0.96636,                 0.7849,                0.76826,                0.45545,                0.97381,               0.001228,               0.001228,               0.001228
                    136,                0.68151,                0.38149,                0.96072,                0.93276,                0.94641,                0.96046,                0.79333,                0.74357,                0.45245,                0.97011,              0.0012247,              0.0012247,              0.0012247
                    137,                0.67836,                0.38091,                0.94606,                0.93222,                0.95208,                 0.9688,                0.78981,                0.76894,                0.43164,                0.98845,              0.0012214,              0.0012214,              0.0012214
                    138,                0.68165,                0.38812,                0.95716,                0.91198,                 0.9583,                0.97014,                0.79713,                0.76233,                0.43794,                0.97649,              0.0012181,              0.0012181,              0.0012181
                    139,                0.67974,                0.38304,                0.96125,                0.92495,                0.94635,                 0.9675,                0.79225,                0.76446,                0.45137,                0.97304,              0.0012148,              0.0012148,              0.0012148
                    140,                0.67905,                0.37983,                0.95122,                0.92427,                0.96031,                0.96479,                0.79629,                0.76455,                0.42101,                0.96927,              0.0012115,              0.0012115,              0.0012115
                    141,                0.65451,                0.37656,                0.95245,                0.92625,                0.96078,                0.96746,                0.80315,                 0.7564,                0.42464,                0.97238,              0.0012082,              0.0012082,              0.0012082
                    142,                0.66511,                0.37112,                0.95318,                0.93333,                0.94816,                0.97096,                0.80218,                0.76215,                0.41815,                0.97519,              0.0012049,              0.0012049,              0.0012049
                    143,                0.66015,                0.37927,                0.94592,                 0.9158,                0.94712,                0.95548,                0.78657,                0.77815,                0.43697,                0.97345,              0.0012016,              0.0012016,              0.0012016
                    144,                0.65597,                0.37225,                0.94371,                 0.9245,                0.96369,                0.97124,                0.81044,                0.74821,                0.41721,                0.97028,              0.0011983,              0.0011983,              0.0011983
                    145,                0.66243,                0.37534,                0.95296,                0.92416,                0.94663,                0.96689,                0.80313,                0.75628,                0.43522,                0.98059,               0.001195,               0.001195,               0.001195
                    146,                0.66401,                0.37654,                0.94527,                0.92982,                0.94635,                0.95395,                0.78727,                0.75404,                0.45952,                0.97302,              0.0011917,              0.0011917,              0.0011917
                    147,                0.66495,                0.37524,                0.95603,                0.94111,                 0.9409,                0.95261,                0.78603,                0.74469,                0.44183,                0.96131,              0.0011884,              0.0011884,              0.0011884
